"artifact_id","artifact_type","relative_path","manuscript_target","status","notes"
"ex1_model_output","log","analysis/manuscript/outputs/logs/ex1_model_output.txt","Example 1 model block","reproduced","polytrend model object output."
"ex1_run_summary","log","analysis/manuscript/outputs/logs/ex1_run_summary.txt","Example 1 textual outputs","reproduced","Includes backend metadata and high-iteration trace diagnostics."
"fig_ex1mcmc","figure","analysis/manuscript/outputs/figures/ex1mcmc.png","fig:ex1mcmc","reproduced","Trace and density plots for sigma and gamma from a dedicated higher-iteration free-sigma median MCMC run with thinning=10."
"tab_ex1_synthesis_bridge","table","analysis/manuscript/outputs/tables/ex1_synthesis_bridge_check.csv","support: Example 1 synthesis forecast-origin check","reproduced","Checks that the forecast synthesis begins one Lake Huron time step after the observed-period synthesis endpoint; Figure 2(d) uses these endpoints for the visual interval bridge."
"fig_ex1quants","figure","analysis/manuscript/outputs/figures/ex1quants.png","fig:ex1quants","reproduced","Four-panel Lake Huron figure with quantile estimates/forecasts on the top row and predictive synthesis over the observed and forecast windows on the bottom row. Panel (d) uses a darker related forecast synthesis band and bridges the observed synthesis endpoint to the first forecast synthesis endpoint for visual continuity on the annual time scale."
"log_ex1_synthesis_summary","log","analysis/manuscript/outputs/logs/ex1_synthesis_summary.txt","support: Example 1 synthesis summary","reproduced","Synthesis settings and compact summaries for the Lake Huron predictive synthesis figure."
"fig_ex1synth","figure","analysis/manuscript/outputs/figures/ex1synth.png","support: Example 1 standalone synthesis figure","reproduced","Standalone support figure for Lake Huron predictive synthesis combining the 0.05, 0.50, and 0.95 fitted models over the observed period and the eight-step forecast horizon, with a darker forecast synthesis band and one-step visual bridge at the forecast origin."
"tab_ex1_runtime","table","analysis/manuscript/outputs/tables/ex1_runtime_summary.csv","Example 1 runtime statements","approximate","Runtimes vary by hardware/profile; trace run intentionally uses higher iterations."
"ex2_model_output","log","analysis/manuscript/outputs/logs/ex2_model_output.txt","Example 2 model matrix output","reproduced","Combined trend/seasonal state-space matrix."
"ex2_run_summary","log","analysis/manuscript/outputs/logs/ex2_run_summary.txt","Example 2 textual outputs","reproduced","Includes sigma summary and LDVB runtime diagnostics for the manuscript Example 2 workflow."
"log_ex2_benchmark_run_summary","log","analysis/manuscript/outputs/logs/ex2_benchmark_run_summary.txt","support: Example 2 dynamic benchmark summary","reproduced","Runtime and diagnostics summary for the dynamic VB versus MCMC benchmark under the disclosed backend profile."
"tab_ex2_dynamic_benchmark","table","analysis/manuscript/outputs/tables/ex2_dynamic_benchmark.csv","tab:ex2bench","reproduced","Representative dynamic VB versus MCMC benchmark for Example 2 under backend Profile B."
"fig_ex2quant","figure","analysis/manuscript/outputs/figures/ex2quant.png","fig:ex2quant","reproduced","Composite Sunspots figure with full-series panel, quantile-comparison panel, and gamma histogram."
"fig_ex2quant_ldvb","figure","analysis/manuscript/outputs/figures/ex2quant_ldvb.png","new: fig ex2quant LDVB counterpart","reproduced","Composite Sunspots figure with full-series panel, quantile-comparison panel, and gamma histogram."
"fig_ex2quant_ldvb_p099","figure","analysis/manuscript/outputs/figures/ex2quant_ldvb_p099.png","new: fig ex2quant LDVB upper-tail (p0=0.99)","reproduced","Three-panel LDVB figure for p0=0.99 comparing DQLM and exDQLM."
"fig_ex2quant_ldvb_p005","figure","analysis/manuscript/outputs/figures/ex2quant_ldvb_p005.png","new: fig ex2quant LDVB lower-tail (p0=0.05)","reproduced","Three-panel LDVB figure for p0=0.05 comparing DQLM and exDQLM."
"fig_ex2checks","figure","analysis/manuscript/outputs/figures/ex2checks.png","fig:ex2checks","reproduced","Primary Example 2 diagnostics figure generated from the LDVB fits."
"fig_ex2checks_ldvb","figure","analysis/manuscript/outputs/figures/ex2checks_ldvb.png","new: fig ex2checks LDVB counterpart","reproduced","LDVB counterpart of ex2checks using exdqlmDiagnostics."
"fig_ex2_ldvb_diagnostics","figure","analysis/manuscript/outputs/figures/ex2_ldvb_diagnostics.png","new: LDVB convergence diagnostics","reproduced","LDVB diagnostics with stricter tolerance (tol=0.01, n.samp=3000); includes DQLM/exDQLM LDVB fit overlay, seq.gamma, seq.sigma, and ELBO trace."
"ex2_ldvb_diagnostics_summary","log","analysis/manuscript/outputs/logs/ex2_ldvb_diagnostics_summary.txt","new: LDVB convergence diagnostics summary","reproduced","Text summary for LDVB convergence diagnostics."
"tab_ex2_df_scan","table","analysis/manuscript/outputs/tables/ex2_df_scan_kl.csv","Example 2 discount-factor CRPS/KL selection","reproduced","Best pair by CRPS in this run: (0.90, 0.85). Best pair by KL: (0.9, 0.85)."
"tab_ex2_diagnostics","table","analysis/manuscript/outputs/tables/ex2_diagnostics_summary.csv","Example 2 diagnostic narrative","reproduced","Primary Example 2 diagnostics summary computed from the LDVB fits."
